Entity,Code,Year,Annual CO2 growth (abs)
India,IND,1880,0.202704
India,IND,1881,-0.047509
India,IND,1882,0.357391
India,IND,1883,0.245219
India,IND,1884,0.289375
India,IND,1885,-0.270949
India,IND,1886,0.312967
India,IND,1887,0.29453
India,IND,1888,0.344012
India,IND,1889,0.613055
India,IND,1890,0.410573
India,IND,1891,0.341275
India,IND,1892,0.475553
India,IND,1893,0.295981
India,IND,1894,0.074363
India,IND,1895,1.420361
India,IND,1896,0.574342
India,IND,1897,0.64606
India,IND,1898,0.873588
India,IND,1899,0.930892
India,IND,1900,1.878445
India,IND,1901,1.25181
India,IND,1902,1.338333
India,IND,1903,0.286748
India,IND,1904,1.761442
India,IND,1905,0.370375
India,IND,1906,2.623177
India,IND,1907,2.227466
India,IND,1908,3.141165
India,IND,1909,-0.768546
India,IND,1910,-0.654754
India,IND,1911,1.297329
India,IND,1912,3.745531
India,IND,1913,2.950246
India,IND,1914,0.232226
India,IND,1915,1.445678
India,IND,1916,0.376275
India,IND,1917,1.50541
India,IND,1918,4.347785
India,IND,1919,3.621696
India,IND,1920,-8.122097
India,IND,1921,2.641947
India,IND,1922,-0.603109
India,IND,1923,1.070642
India,IND,1924,2.661055
India,IND,1925,-0.543931
India,IND,1926,-0.142026
India,IND,1927,1.944765
India,IND,1928,-1.80932
India,IND,1929,1.637793
India,IND,1930,0.692882
India,IND,1931,-3.555328
India,IND,1932,-2.72668
India,IND,1933,-0.663327
India,IND,1934,4.151138
India,IND,1935,1.785319
India,IND,1936,-0.710052
India,IND,1937,4.390767
India,IND,1938,5.323231
India,IND,1939,-1.069314
India,IND,1940,3.002613
India,IND,1941,1.271823
India,IND,1942,-0.051667
India,IND,1943,-6.897981
India,IND,1944,1.053582
India,IND,1945,5.188028
India,IND,1946,-0.649926
India,IND,1947,0.957817
India,IND,1948,0.023727
India,IND,1949,2.988842
India,IND,1950,4.911396
India,IND,1951,2.923238
India,IND,1952,3.410663
India,IND,1953,1.280632
India,IND,1954,3.711676
India,IND,1955,6.379994
India,IND,1956,2.871345
India,IND,1957,9.993475
India,IND,1958,4.186044
India,IND,1959,5.63846
India,IND,1960,9.893549
India,IND,1961,9.092432
India,IND,1962,12.193049
India,IND,1963,9.876103
India,IND,1964,-2.964355
India,IND,1965,14.233533
India,IND,1966,5.672457
India,IND,1967,0.186418
India,IND,1968,14.522414
India,IND,1969,3.343158
India,IND,1970,4.309633
India,IND,1971,10.247479
India,IND,1972,11.086268
India,IND,1973,6.065529
India,IND,1974,6.772901
India,IND,1975,18.385538
India,IND,1976,10.554539
India,IND,1977,14.228558
India,IND,1978,4.182504
India,IND,1979,13.146371
India,IND,1980,15.45787
India,IND,1981,23.279536
India,IND,1982,10.419135
India,IND,1983,26.855402
India,IND,1984,9.358652
India,IND,1985,36.073773
India,IND,1986,28.754949
India,IND,1987,29.069089
India,IND,1988,36.397099
India,IND,1989,49.001526
India,IND,1990,37.394723
India,IND,1991,37.418946
India,IND,1992,40.116671
India,IND,1993,21.893141
India,IND,1994,39.011697
India,IND,1995,45.210451
India,IND,1996,63.81331
India,IND,1997,33.778077
India,IND,1998,18.010172
India,IND,1999,73.731723
India,IND,2000,26.755767
India,IND,2001,14.102207
India,IND,2002,30.319817
India,IND,2003,36.566926
India,IND,2004,65.847758
India,IND,2005,60.496998
India,IND,2006,73.761795
India,IND,2007,98.393141
India,IND,2008,104.658386
India,IND,2009,149.940681
India,IND,2010,65.964006
India,IND,2011,87.586363
India,IND,2012,175.247614
