Entity,Code,Year,Annual CO2 emissions
India,IND,1858,0.395232
India,IND,1859,0.637685
India,IND,1860,0.644327
India,IND,1861,0.498191
India,IND,1862,0.551332
India,IND,1863,0.611114
India,IND,1864,0.577902
India,IND,1865,0.567938
India,IND,1866,0.641006
India,IND,1878,1.770239
India,IND,1879,1.687419
India,IND,1880,1.890123
India,IND,1881,1.842614
India,IND,1882,2.200005
India,IND,1883,2.445224
India,IND,1884,2.734599
India,IND,1885,2.46365
India,IND,1886,2.776617
India,IND,1887,3.071147
India,IND,1888,3.415159
India,IND,1889,4.028214
India,IND,1890,4.438787
India,IND,1891,4.780062
India,IND,1892,5.255615
India,IND,1893,5.551596
India,IND,1894,5.625959
India,IND,1895,7.04632
India,IND,1896,7.620662
India,IND,1897,8.266722
India,IND,1898,9.14031
India,IND,1899,10.071202
India,IND,1900,11.949647
India,IND,1901,13.201457
India,IND,1902,14.53979
India,IND,1903,14.826538
India,IND,1904,16.58798
India,IND,1905,16.958355
India,IND,1906,19.581532
India,IND,1907,21.808998
India,IND,1908,24.950163
India,IND,1909,24.181617
India,IND,1910,23.526863
India,IND,1911,24.824192
India,IND,1912,28.569723
India,IND,1913,31.519969
India,IND,1914,31.752195
India,IND,1915,33.197873
India,IND,1916,33.574148
India,IND,1917,35.079558
India,IND,1918,39.427343
India,IND,1919,43.049039
India,IND,1920,34.926942
India,IND,1921,37.568889
India,IND,1922,36.96578
India,IND,1923,38.036422
India,IND,1924,40.697477
India,IND,1925,40.153546
India,IND,1926,40.01152
India,IND,1927,41.956285
India,IND,1928,40.146965
India,IND,1929,41.784758
India,IND,1930,42.47764
India,IND,1931,38.922312
India,IND,1932,36.195632
India,IND,1933,35.532305
India,IND,1934,39.683443
India,IND,1935,41.468762
India,IND,1936,40.75871
India,IND,1937,45.149477
India,IND,1938,50.472708
India,IND,1939,49.403394
India,IND,1940,52.406007
India,IND,1941,53.67783
India,IND,1942,53.626163
India,IND,1943,46.728182
India,IND,1944,47.781764
India,IND,1945,52.969792
India,IND,1946,52.319866
India,IND,1947,53.277683
India,IND,1948,53.30141
India,IND,1949,56.290252
India,IND,1950,61.201648
India,IND,1951,64.124886
India,IND,1952,67.535549
India,IND,1953,68.816181
India,IND,1954,72.527857
India,IND,1955,78.907851
India,IND,1956,81.779196
India,IND,1957,91.772671
India,IND,1958,95.958715
India,IND,1959,101.597175
India,IND,1960,111.490724
India,IND,1961,120.583156
India,IND,1962,132.776205
India,IND,1963,142.652308
India,IND,1964,139.687953
India,IND,1965,153.921486
India,IND,1966,159.593943
India,IND,1967,159.780361
India,IND,1968,174.302775
India,IND,1969,177.645933
India,IND,1970,181.955566
India,IND,1971,192.203045
India,IND,1972,203.289313
India,IND,1973,209.354842
India,IND,1974,216.127743
India,IND,1975,234.513281
India,IND,1976,245.06782
India,IND,1977,259.296378
India,IND,1978,263.478882
India,IND,1979,276.625253
India,IND,1980,292.083123
India,IND,1981,315.362659
India,IND,1982,325.781794
India,IND,1983,352.637196
India,IND,1984,361.995848
India,IND,1985,398.069621
India,IND,1986,426.82457
India,IND,1987,455.893659
India,IND,1988,492.290758
India,IND,1989,541.292284
India,IND,1990,578.687007
India,IND,1991,616.105953
India,IND,1992,656.222624
India,IND,1993,678.115765
India,IND,1994,717.127462
India,IND,1995,762.337913
India,IND,1996,826.151223
India,IND,1997,859.9293
India,IND,1998,877.939472
India,IND,1999,951.671195
India,IND,2000,978.426962
India,IND,2001,992.529169
India,IND,2002,1022.848986
India,IND,2003,1059.415912
India,IND,2004,1125.26367
India,IND,2005,1185.760668
India,IND,2006,1259.522463
India,IND,2007,1357.915604
India,IND,2008,1462.57399
India,IND,2009,1612.514671
India,IND,2010,1678.478677
India,IND,2011,1766.06504
India,IND,2012,1941.312654
India,IND,2013,2033.412295
India,IND,2014,2184.432168
India,IND,2015,2253.428782
India,IND,2016,2392.359728
India,IND,2017,2456.847641
India,IND,2018,2591.323739
India,IND,2019,2616.44882
