dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1869-01-01,19.261,1.811,Ahmadabad,India,23.31N,72.52E
1869-02-01,22.515,1.81,Ahmadabad,India,23.31N,72.52E
1869-03-01,25.919,1.892,Ahmadabad,India,23.31N,72.52E
1869-04-01,30.758,1.829,Ahmadabad,India,23.31N,72.52E
1869-05-01,32.923,1.578,Ahmadabad,India,23.31N,72.52E
1869-06-01,31.791,1.525,Ahmadabad,India,23.31N,72.52E
1869-07-01,28.887,1.518,Ahmadabad,India,23.31N,72.52E
1869-08-01,27.343,1.462,Ahmadabad,India,23.31N,72.52E
1869-09-01,28.05,1.403,Ahmadabad,India,23.31N,72.52E
1869-10-01,27.113,1.61,Ahmadabad,India,23.31N,72.52E
1869-11-01,24.044,1.658,Ahmadabad,India,23.31N,72.52E
1869-12-01,19.677,1.722,Ahmadabad,India,23.31N,72.52E
1870-01-01,19.2,1.607,Ahmadabad,India,23.31N,72.52E
1870-02-01,21.065,1.834,Ahmadabad,India,23.31N,72.52E
1870-03-01,25.963,1.78,Ahmadabad,India,23.31N,72.52E
1870-04-01,30.524,1.714,Ahmadabad,India,23.31N,72.52E
1870-05-01,33.265,1.387,Ahmadabad,India,23.31N,72.52E
1870-06-01,31.694,1.513,Ahmadabad,India,23.31N,72.52E
1870-07-01,28.424,1.455,Ahmadabad,India,23.31N,72.52E
1870-08-01,26.728,1.259,Ahmadabad,India,23.31N,72.52E
1870-09-01,27.601,1.284,Ahmadabad,India,23.31N,72.52E
1870-10-01,26.864,1.593,Ahmadabad,India,23.31N,72.52E
1870-11-01,23.847,1.835,Ahmadabad,India,23.31N,72.52E
1870-12-01,19.388,1.499,Ahmadabad,India,23.31N,72.52E
1871-01-01,18.618,1.719,Ahmadabad,India,23.31N,72.52E
1871-02-01,20.988,1.931,Ahmadabad,India,23.31N,72.52E
1871-03-01,26.033,1.928,Ahmadabad,India,23.31N,72.52E
1871-04-01,30.723,1.589,Ahmadabad,India,23.31N,72.52E
1871-05-01,32.499,1.425,Ahmadabad,India,23.31N,72.52E
1871-06-01,31.449,1.445,Ahmadabad,India,23.31N,72.52E
1871-07-01,28.431,1.387,Ahmadabad,India,23.31N,72.52E
1871-08-01,27.356,1.208,Ahmadabad,India,23.31N,72.52E
1871-09-01,27.671,1.278,Ahmadabad,India,23.31N,72.52E
1871-10-01,27.188,1.471,Ahmadabad,India,23.31N,72.52E
1871-11-01,23.489,1.6,Ahmadabad,India,23.31N,72.52E
1871-12-01,20.001,1.493,Ahmadabad,India,23.31N,72.52E
1872-01-01,18.922,1.872,Ahmadabad,India,23.31N,72.52E
1872-02-01,21.173,1.757,Ahmadabad,India,23.31N,72.52E
1872-03-01,26.367,1.744,Ahmadabad,India,23.31N,72.52E
1872-04-01,30.379,1.761,Ahmadabad,India,23.31N,72.52E
1872-05-01,32.792,1.339,Ahmadabad,India,23.31N,72.52E
1872-06-01,31.324,1.381,Ahmadabad,India,23.31N,72.52E
1872-07-01,28.407,1.456,Ahmadabad,India,23.31N,72.52E
1872-08-01,27.04,1.495,Ahmadabad,India,23.31N,72.52E
1872-09-01,27.652,1.254,Ahmadabad,India,23.31N,72.52E
1872-10-01,27.235,1.479,Ahmadabad,India,23.31N,72.52E
1872-11-01,23.61,1.543,Ahmadabad,India,23.31N,72.52E
1872-12-01,19.765,1.811,Ahmadabad,India,23.31N,72.52E
1873-01-01,18.871,1.693,Ahmadabad,India,23.31N,72.52E
1873-02-01,21.845,1.681,Ahmadabad,India,23.31N,72.52E
1873-03-01,25.906,1.754,Ahmadabad,India,23.31N,72.52E
1873-04-01,30.23,1.688,Ahmadabad,India,23.31N,72.52E
1873-05-01,32.929,1.339,Ahmadabad,India,23.31N,72.52E
1873-06-01,31.501,1.392,Ahmadabad,India,23.31N,72.52E
1873-07-01,28.516,1.527,Ahmadabad,India,23.31N,72.52E
1873-08-01,27.254,1.21,Ahmadabad,India,23.31N,72.52E
1873-09-01,27.456,1.386,Ahmadabad,India,23.31N,72.52E
1873-10-01,27.292,1.526,Ahmadabad,India,23.31N,72.52E
1873-11-01,23.803,1.524,Ahmadabad,India,23.31N,72.52E
1873-12-01,20.44,1.49,Ahmadabad,India,23.31N,72.52E
1874-01-01,19.143,1.637,Ahmadabad,India,23.31N,72.52E
1874-02-01,21.695,1.624,Ahmadabad,India,23.31N,72.52E
1874-03-01,25.37,1.796,Ahmadabad,India,23.31N,72.52E
1874-04-01,30.694,1.561,Ahmadabad,India,23.31N,72.52E
1874-05-01,32.814,1.38,Ahmadabad,India,23.31N,72.52E
1874-06-01,31.361,1.483,Ahmadabad,India,23.31N,72.52E
1874-07-01,28.431,1.391,Ahmadabad,India,23.31N,72.52E
1874-08-01,27.323,1.251,Ahmadabad,India,23.31N,72.52E
1874-09-01,27.553,1.322,Ahmadabad,India,23.31N,72.52E
1874-10-01,27.547,1.556,Ahmadabad,India,23.31N,72.52E
1874-11-01,24.311,1.588,Ahmadabad,India,23.31N,72.52E
1874-12-01,20.064,1.527,Ahmadabad,India,23.31N,72.52E
1875-01-01,19.073,0.985,Ahmadabad,India,23.31N,72.52E
1875-02-01,21.242,1.141,Ahmadabad,India,23.31N,72.52E
1875-03-01,28.74,1.496,Ahmadabad,India,23.31N,72.52E
1875-04-01,31.588,0.826,Ahmadabad,India,23.31N,72.52E
1875-05-01,33.562,1.254,Ahmadabad,India,23.31N,72.52E
1875-06-01,32.141,0.895,Ahmadabad,India,23.31N,72.52E
1875-07-01,27.828,1.384,Ahmadabad,India,23.31N,72.52E
1875-08-01,27.01,0.662,Ahmadabad,India,23.31N,72.52E
1875-09-01,27.271,0.621,Ahmadabad,India,23.31N,72.52E
1875-10-01,25.218,1.161,Ahmadabad,India,23.31N,72.52E
1875-11-01,23.703,0.832,Ahmadabad,India,23.31N,72.52E
1875-12-01,20.733,0.832,Ahmadabad,India,23.31N,72.52E
