dt,AverageTemperature,Country,,,,,,,
1869-01-01,16.581,India,,,,,,,
1869-02-01,19.805,India,1869-1878,23.73501667,,1869-1898,23.70709167,,
1869-03-01,23.022,India,1879-1888,23.546925,,1899-1928,23.87263333,,
1869-04-01,27.641,India,1889-1898,23.83933333,,1929-1958,24.03485,,
1869-05-01,29.692,India,1899-1908,23.92905,,1959-1988,24.20741389,,
1869-06-01,28.947,India,1909-1918,23.75763333,,1989-2012,24.5868375,,
1869-07-01,26.995,India,1919-1928,23.93121667,,,,,
1869-08-01,25.904,India,1929-1938,23.86605833,,,,,722-841
1869-09-01,25.937,India,1939-1948,24.08088333,,,,,842-961
1869-10-01,23.832,India,1949-1958,24.15760833,,,,,962-1081
1869-11-01,20.112,India,1959-1968,24.08065833,,,,,1082-1201
1869-12-01,16.332,India,1969-1978,24.140175,,,,,1202-1321
1870-01-01,16.51,India,1979-1988,24.40140833,,,,,1322-1441
1870-02-01,18.711,India,1989-1998,24.32496667,,,,,1442-1561
1870-03-01,23.23,India,1999-2008,24.62206667,,,,,1562-1681
1870-04-01,27.566,India,2009-2012,24.81347917,,,,,1682-1729
1870-05-01,30.15,India,,,,,,,
1870-06-01,28.782,India,,,,,,,
1870-07-01,26.588,India,,,,,,,
1870-08-01,25.423,India,,,,,,,
1870-09-01,25.516,India,,,,,,,
1870-10-01,23.732,India,,,,,,,
1870-11-01,20.086,India,,,,,,,
1870-12-01,16.128,India,,,,,,,
1871-01-01,16.165,India,,,,,,,
1871-02-01,18.913,India,,,,,,,
1871-03-01,23.25,India,,,,,,,
1871-04-01,27.582,India,,,,,,,
1871-05-01,29.435,India,,,,,,,
1871-06-01,28.981,India,,,,,,,
1871-07-01,26.534,India,,,,,,,
1871-08-01,26.032,India,,,,,,,
1871-09-01,25.841,India,,,,,,,
1871-10-01,24.036,India,,,,,,,
1871-11-01,19.83,India,,,,,,,
1871-12-01,16.783,India,,,,,,,
1872-01-01,16.469,India,,,,,,,
1872-02-01,18.654,India,,,,,,,
1872-03-01,23.876,India,,,,,,,
1872-04-01,27.342,India,,,,,,,
1872-05-01,29.562,India,,,,,,,
1872-06-01,28.741,India,,,,,,,
1872-07-01,26.615,India,,,,,,,
1872-08-01,25.727,India,,,,,,,
1872-09-01,25.574,India,,,,,,,
1872-10-01,24.024,India,,,,,,,
1872-11-01,20.055,India,,,,,,,
1872-12-01,16.883,India,,,,,,,
1873-01-01,16.271,India,,,,,,,
