Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861,1860,1859,1858,1857,1856,1855,1854,1853,1852,1851,1850
India,CAIT,Total including LUCF,All GHG,MtCO₂e,,,3235.66,3177.2,3163.7,2994.46,2943.69,2800.43,2457.76,2355.66,2170.72,2078.82,1936.95,1803.32,1728.85,1634.28,1591.5,1569.36,1664.02,1627.12,1548.0,1515.75,1459.04,1413.99,1347.49,1301.28,1269.78,1238.06,1183.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,CAIT,Total excluding LUCF,All GHG,MtCO₂e,,,3109.23,3052.9,3036.79,2867.09,2810.1,2673.67,2572.8,2469.45,2295.12,2200.53,2061.21,1966.93,1888.79,1797.65,1758.62,1735.61,1712.43,1674.19,1596.67,1564.46,1507.51,1456.46,1389.97,1343.75,1312.26,1280.54,1225.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,PIK,Total excluding LULUCF,KYOTOGHG,MtCO₂e,,2980.0,2900.0,2810.0,2740.0,2550.0,2530.0,2380.0,2260.0,2280.0,2120.0,1980.0,1880.0,1810.0,1750.0,1690.0,1640.0,1640.0,1650.0,1620.0,1550.0,1520.0,1480.0,1410.0,1350.0,1290.0,1260.0,1210.0,1160.0,1130.0,1070.0,1000.0,970.0,930.0,886.0,862.0,822.0,814.0,775.0,759.0,738.0,731.0,710.0,695.0,661.0,655.0,646.0,627.0,614.0,611.0,599.0,576.0,567.0,551.0,534.0,529.0,514.0,496.0,478.0,462.0,450.0,440.0,423.0,413.0,400.0,391.0,384.0,376.0,370.0,364.0,359.0,358.0,356.0,355.0,349.0,347.0,353.0,352.0,350.0,345.0,343.0,333.0,324.0,320.0,313.0,304.0,301.0,301.0,303.0,302.0,300.0,303.0,303.0,305.0,307.0,306.0,307.0,308.0,305.0,313.0,307.0,301.0,298.0,295.0,292.0,289.0,284.0,279.0,277.0,277.0,277.0,273.0,270.0,267.0,266.0,264.0,263.0,261.0,259.0,257.0,255.0,253.0,252.0,250.0,247.0,246.0,245.0,243.0,241.0,239.0,236.0,234.0,231.0,228.0,226.0,223.0,220.0,217.0,214.0,211.0,207.0,203.0,199.0,195.0,191.0,186.0,182.0,177.0,173.0,168.0,164.0,159.0,154.0,149.0,144.0,139.0,134.0,129.0,123.0,118.0,112.0,106.0,99.9,93.8,87.5,81.1,74.6,68.0,61.3
India,GCP,Total fossil fuels and cement,CO2,MtCO₂e,2654.1,2456.95,2371.75,2298.17,2199.4,1994.1,1979.05,1811.96,1700.03,1720.12,1547.99,1390.25,1287.15,1210.15,1145.55,1091.87,1047.6,1035.64,1029.64,995.23,933.55,915.05,878.83,811.46,764.24,722.89,698.76,656.74,616.58,576.4,525.08,486.07,455.07,424.26,385.93,376.68,347.82,337.11,312.48,295.3,281.54,277.65,262.53,251.19,231.18,223.6,217.18,205.33,194.73,190.4,187.1,172.09,171.69,165.96,150.64,154.07,143.45,130.39,120.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,CAIT,Total including LUCF,CO2,MtCO₂e,,,2307.61,2257.91,2243.32,2076.24,2022.81,1881.69,1544.41,1455.54,1280.13,1197.76,1080.39,966.6,912.67,836.25,813.92,779.89,884.88,849.87,784.48,768.05,725.01,689.93,635.89,600.54,578.56,556.14,511.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,PIK,Total excluding LULUCF,CO2,MtCO₂e,,2300.0,2230.0,2150.0,2090.0,1900.0,1880.0,1730.0,1620.0,1640.0,1490.0,1350.0,1280.0,1210.0,1160.0,1100.0,1060.0,1060.0,1070.0,1040.0,979.0,968.0,937.0,874.0,828.0,779.0,755.0,709.0,669.0,628.0,573.0,528.0,498.0,469.0,430.0,415.0,391.0,385.0,357.0,347.0,331.0,329.0,317.0,304.0,282.0,279.0,276.0,260.0,252.0,250.0,243.0,226.0,221.0,212.0,194.0,194.0,181.0,165.0,153.0,140.0,132.0,124.0,111.0,105.0,96.1,89.8,86.3,81.0,76.8,71.5,67.9,67.5,66.4,66.9,61.5,60.3,67.2,67.0,66.2,62.4,62.7,55.9,50.7,50.8,48.3,43.4,43.5,45.8,49.1,47.9,45.8,46.9,44.4,44.1,44.3,41.2,39.8,40.2,37.4,45.7,42.0,37.4,35.8,35.4,33.9,33.6,30.5,26.6,25.2,25.7,26.5,23.2,20.7,17.9,17.4,15.5,15.2,13.7,12.4,10.5,9.47,8.54,7.87,7.26,5.79,5.67,5.38,4.89,4.54,4.12,3.51,3.16,2.85,2.54,2.81,2.52,2.26,1.9,1.95,1.75,1.84,1.82,1.77,1.7,1.61,1.5,1.38,1.25,1.12,0.99,0.87,0.76,0.67,0.59,0.6,0.64,0.57,0.52,0.67,0.66,0.41,0.52,0.36,0.35,0.33,0.31,0.29,0.28,0.27
India,CAIT,Energy,All GHG,MtCO₂e,,,2193.49,2142.72,2132.69,1970.11,1920.36,1784.91,1701.39,1615.95,1449.65,1368.96,1252.97,1178.56,1124.86,1047.25,1024.27,990.42,975.38,939.43,876.98,861.28,819.88,786.16,733.29,698.13,675.84,652.33,607.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,CAIT,Total excluding LUCF,CO2,MtCO₂e,,,2188.88,2139.38,2124.78,1957.73,1904.31,1763.19,1673.78,1584.91,1409.52,1327.15,1209.77,1134.85,1080.92,1004.48,982.17,948.13,935.05,900.01,834.63,818.21,775.18,740.07,686.03,650.68,628.7,606.28,561.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,PIK,Energy,KYOTOGHG,MtCO₂e,,2200.0,2130.0,2050.0,1980.0,1800.0,1790.0,1640.0,1540.0,1570.0,1430.0,1300.0,1230.0,1170.0,1130.0,1080.0,1050.0,1050.0,1060.0,1030.0,961.0,942.0,906.0,838.0,787.0,744.0,721.0,678.0,642.0,621.0,568.0,524.0,489.0,458.0,422.0,412.0,384.0,373.0,348.0,330.0,316.0,312.0,297.0,287.0,266.0,257.0,250.0,238.0,229.0,223.0,219.0,203.0,200.0,193.0,177.0,178.0,166.0,152.0,142.0,131.0,124.0,119.0,107.0,103.0,95.6,90.9,88.6,84.4,81.2,76.7,73.8,73.8,72.6,73.3,68.1,67.1,74.2,74.2,73.8,70.4,71.0,64.5,59.6,59.9,57.6,52.9,53.2,55.6,58.9,58.0,56.0,57.6,55.4,55.2,55.5,52.5,51.2,51.5,48.6,56.7,52.8,48.0,46.2,45.6,43.9,43.4,40.1,36.0,34.4,34.6,35.0,31.4,28.6,25.4,24.5,22.3,21.6,19.8,18.2,16.0,14.7,13.6,12.6,11.8,10.1,9.8,9.31,8.64,8.13,7.25,6.63,6.26,5.93,5.61,5.86,5.56,5.28,4.9,4.93,4.7,4.77,4.73,4.66,4.56,4.45,4.31,4.17,4.02,3.87,3.73,3.59,3.47,3.36,3.27,3.27,3.28,3.21,3.14,3.27,3.25,2.99,3.08,2.91,2.88,2.84,2.81,2.78,2.75,2.72
India,CAIT,Energy,CO2,MtCO₂e,,,2078.38,2027.48,2016.88,1853.33,1802.91,1666.6,1582.61,1499.86,1336.54,1258.64,1145.44,1074.11,1023.87,949.91,930.77,900.37,889.08,854.78,794.18,780.23,740.78,708.71,657.39,623.98,603.54,581.58,539.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
